Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[genotype]	Characteristics[infect]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[phenotype]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[genotype]	Factor Value[cell type]	Factor Value[phenotype]
Egr2/3_DKO_CD8_3	ERS1472468	SAMEA25765168	Mus musculus	hCD2-Cre / Egr2loxP/loxP / Egr3-/-	vaccinia virus	lymph node and spleen	CD8-positive T cell	  	cell	P-MTAB-53177	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2/3_DKO_CD8_3	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2/3_DKO_CD8_3	sequencing assay	ERX1822236	UCLGNS1136-12_S12_R1_001.fastq.gz	UCLGNS1136-12_S12_R1_001.fastq.gz	ERR1755087	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/007/ERR1755087/ERR1755087_1.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2 and Egr3 knockout	CD8-positive T cell	    
Egr2/3_DKO_CD8_3	ERS1472468	SAMEA25765168	Mus musculus	hCD2-Cre / Egr2loxP/loxP / Egr3-/-	vaccinia virus	lymph node and spleen	CD8-positive T cell	  	cell	P-MTAB-53177	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2/3_DKO_CD8_3	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2/3_DKO_CD8_3	sequencing assay	ERX1822236	UCLGNS1136-12_S12_R2_001.fastq.gz	UCLGNS1136-12_S12_R2_001.fastq.gz	ERR1755087	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/007/ERR1755087/ERR1755087_2.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2 and Egr3 knockout	CD8-positive T cell	    
Egr2_Kin_CD4_1	ERS1472469	SAMEA25765918	Mus musculus	Egr2-GFP knockin	vaccinia virus	lymph node and spleen	CD4-positive T cell	Egr2-GFP high	cell	P-MTAB-53178	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2_Kin_CD4_1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2_Kin_CD4_1	sequencing assay	ERX1822237	UCLGNS1136-1_S1_R1_001.fastq.gz	UCLGNS1136-1_S1_R1_001.fastq.gz	ERR1755088	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/008/ERR1755088/ERR1755088_1.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2-GFP knockin	CD4-positive T cell	Egr2-GFP high
Egr2_Kin_CD4_1	ERS1472469	SAMEA25765918	Mus musculus	Egr2-GFP knockin	vaccinia virus	lymph node and spleen	CD4-positive T cell	Egr2-GFP high	cell	P-MTAB-53178	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2_Kin_CD4_1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2_Kin_CD4_1	sequencing assay	ERX1822237	UCLGNS1136-1_S1_R2_001.fastq.gz	UCLGNS1136-1_S1_R2_001.fastq.gz	ERR1755088	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/008/ERR1755088/ERR1755088_2.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2-GFP knockin	CD4-positive T cell	Egr2-GFP high
Egr2_Kin_CD4_2	ERS1472470	SAMEA25766668	Mus musculus	Egr2-GFP knockin	vaccinia virus	lymph node and spleen	CD4-positive T cell	Egr2-GFP high	cell	P-MTAB-53178	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2_Kin_CD4_2	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2_Kin_CD4_2	sequencing assay	ERX1822238	UCLGNS1136-2_S2_R1_001.fastq.gz	UCLGNS1136-2_S2_R1_001.fastq.gz	ERR1755089	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/009/ERR1755089/ERR1755089_1.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2-GFP knockin	CD4-positive T cell	Egr2-GFP high
Egr2_Kin_CD4_2	ERS1472470	SAMEA25766668	Mus musculus	Egr2-GFP knockin	vaccinia virus	lymph node and spleen	CD4-positive T cell	Egr2-GFP high	cell	P-MTAB-53178	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2_Kin_CD4_2	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2_Kin_CD4_2	sequencing assay	ERX1822238	UCLGNS1136-2_S2_R2_001.fastq.gz	UCLGNS1136-2_S2_R2_001.fastq.gz	ERR1755089	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/009/ERR1755089/ERR1755089_2.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2-GFP knockin	CD4-positive T cell	Egr2-GFP high
Egr2_Kin_CD4_3	ERS1472471	SAMEA25767418	Mus musculus	Egr2-GFP knockin	vaccinia virus	lymph node and spleen	CD4-positive T cell	Egr2-GFP high	cell	P-MTAB-53178	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2_Kin_CD4_3	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2_Kin_CD4_3	sequencing assay	ERX1822239	UCLGNS1136-3_S3_R1_001.fastq.gz	UCLGNS1136-3_S3_R1_001.fastq.gz	ERR1755090	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/000/ERR1755090/ERR1755090_1.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2-GFP knockin	CD4-positive T cell	Egr2-GFP high
Egr2_Kin_CD4_3	ERS1472471	SAMEA25767418	Mus musculus	Egr2-GFP knockin	vaccinia virus	lymph node and spleen	CD4-positive T cell	Egr2-GFP high	cell	P-MTAB-53178	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2_Kin_CD4_3	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2_Kin_CD4_3	sequencing assay	ERX1822239	UCLGNS1136-3_S3_R2_001.fastq.gz	UCLGNS1136-3_S3_R2_001.fastq.gz	ERR1755090	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/000/ERR1755090/ERR1755090_2.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2-GFP knockin	CD4-positive T cell	Egr2-GFP high
Egr2_Kin_CD8_1	ERS1472472	SAMEA25768168	Mus musculus	Egr2-GFP knockin	vaccinia virus	lymph node and spleen	CD8-positive T cell	Egr2-GFP high	cell	P-MTAB-53179	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2_Kin_CD8_1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2_Kin_CD8_1	sequencing assay	ERX1822240	UCLGNS1136-4_S4_R1_001.fastq.gz	UCLGNS1136-4_S4_R1_001.fastq.gz	ERR1755091	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/001/ERR1755091/ERR1755091_1.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2-GFP knockin	CD8-positive T cell	Egr2-GFP high
Egr2_Kin_CD8_1	ERS1472472	SAMEA25768168	Mus musculus	Egr2-GFP knockin	vaccinia virus	lymph node and spleen	CD8-positive T cell	Egr2-GFP high	cell	P-MTAB-53179	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2_Kin_CD8_1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2_Kin_CD8_1	sequencing assay	ERX1822240	UCLGNS1136-4_S4_R2_001.fastq.gz	UCLGNS1136-4_S4_R2_001.fastq.gz	ERR1755091	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/001/ERR1755091/ERR1755091_2.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2-GFP knockin	CD8-positive T cell	Egr2-GFP high
Egr2_Kin_CD8_2	ERS1472473	SAMEA25768918	Mus musculus	Egr2-GFP knockin	vaccinia virus	lymph node and spleen	CD8-positive T cell	Egr2-GFP high	cell	P-MTAB-53179	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2_Kin_CD8_2	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2_Kin_CD8_2	sequencing assay	ERX1822241	UCLGNS1136-5_S5_R1_001.fastq.gz	UCLGNS1136-5_S5_R1_001.fastq.gz	ERR1755092	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/002/ERR1755092/ERR1755092_1.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2-GFP knockin	CD8-positive T cell	Egr2-GFP high
Egr2_Kin_CD8_2	ERS1472473	SAMEA25768918	Mus musculus	Egr2-GFP knockin	vaccinia virus	lymph node and spleen	CD8-positive T cell	Egr2-GFP high	cell	P-MTAB-53179	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2_Kin_CD8_2	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2_Kin_CD8_2	sequencing assay	ERX1822241	UCLGNS1136-5_S5_R2_001.fastq.gz	UCLGNS1136-5_S5_R2_001.fastq.gz	ERR1755092	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/002/ERR1755092/ERR1755092_2.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2-GFP knockin	CD8-positive T cell	Egr2-GFP high
Egr2_Kin_CD8_3	ERS1472474	SAMEA25769668	Mus musculus	Egr2-GFP knockin	vaccinia virus	lymph node and spleen	CD8-positive T cell	Egr2-GFP high	cell	P-MTAB-53179	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2_Kin_CD8_3	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2_Kin_CD8_3	sequencing assay	ERX1822242	UCLGNS1136-6_S6_R1_001.fastq.gz	UCLGNS1136-6_S6_R1_001.fastq.gz	ERR1755093	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/003/ERR1755093/ERR1755093_1.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2-GFP knockin	CD8-positive T cell	Egr2-GFP high
Egr2_Kin_CD8_3	ERS1472474	SAMEA25769668	Mus musculus	Egr2-GFP knockin	vaccinia virus	lymph node and spleen	CD8-positive T cell	Egr2-GFP high	cell	P-MTAB-53179	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2_Kin_CD8_3	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2_Kin_CD8_3	sequencing assay	ERX1822242	UCLGNS1136-6_S6_R2_001.fastq.gz	UCLGNS1136-6_S6_R2_001.fastq.gz	ERR1755093	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/003/ERR1755093/ERR1755093_2.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2-GFP knockin	CD8-positive T cell	Egr2-GFP high
