ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0002204	GO:0002204	somatic recombination of immunoglobulin genes involved in immune response	7/254	60/28928	0.116666666666667	13.2871391076115	8.96690291486576	9.6224220410035e-07	0.000583609401826514	0.000461405157840506	11628/12053/12458/16183/20371/21947/22164	7
GO:0002208	GO:0002208	somatic diversification of immunoglobulins involved in immune response	7/254	60/28928	0.116666666666667	13.2871391076115	8.96690291486576	9.6224220410035e-07	0.000583609401826514	0.000461405157840506	11628/12053/12458/16183/20371/21947/22164	7
GO:0045190	GO:0045190	isotype switching	7/254	60/28928	0.116666666666667	13.2871391076115	8.96690291486576	9.6224220410035e-07	0.000583609401826514	0.000461405157840506	11628/12053/12458/16183/20371/21947/22164	7
GO:0016447	GO:0016447	somatic recombination of immunoglobulin gene segments	7/254	69/28928	0.101449275362319	11.5540340066187	8.26088946538679	2.51352333881847e-06	0.000759335400657059	0.000600335205871484	11628/12053/12458/16183/20371/21947/22164	7
GO:0002381	GO:0002381	immunoglobulin production involved in immunoglobulin-mediated immune response	7/254	73/28928	0.0958904109589041	10.9209362528314	7.98781440280065	3.68438186693705e-06	0.000856193663078217	0.000676911939763576	11628/12053/12458/16183/20371/21947/22164	7
GO:0016445	GO:0016445	somatic diversification of immunoglobulins	7/254	76/28928	0.0921052631578947	10.4898466639039	7.79654958388191	4.83423427916589e-06	0.0010431586969543	0.000824727637550933	11628/12053/12458/16183/20371/21947/22164	7
GO:0002562	GO:0002562	somatic diversification of immune receptors via germline recombination within a single locus	7/254	79/28928	0.0886075949367089	10.0914980564138	7.61566846755945	6.26820932638123e-06	0.00118351627343736	0.000935695194839408	11628/12053/12458/16183/20371/21947/22164	7
GO:0016444	GO:0016444	somatic cell DNA recombination	7/254	79/28928	0.0886075949367089	10.0914980564138	7.61566846755945	6.26820932638123e-06	0.00118351627343736	0.000935695194839408	11628/12053/12458/16183/20371/21947/22164	7
GO:0061180	GO:0061180	mammary gland epithelium development	7/254	82/28928	0.0853658536585366	9.72229690800845	7.44422358024111	8.03918017788685e-06	0.00142860960690566	0.00112946748133903	11839/12977/18208/18612/21943/22337/66042	7
GO:0002200	GO:0002200	somatic diversification of immune receptors	7/254	87/28928	0.0804597701149425	9.1635442121459	7.17724272637951	1.19047942668542e-05	0.00171387881393592	0.0013550030588758	11628/12053/12458/16183/20371/21947/22164	7
GO:0050871	GO:0050871	positive regulation of B cell activation	7/254	95/28928	0.0736842105263158	8.39187733112308	6.79197460505112	2.12116346551542e-05	0.00229825357402729	0.0018170133136354	12053/16153/16183/21947/22163/22164/60505	7
GO:0050772	GO:0050772	positive regulation of axonogenesis	7/254	101/28928	0.0693069306930693	7.89334996491775	6.53154173177875	3.15757240561378e-05	0.00298094569917476	0.00235675387774266	18208/18213/18846/21844/235611/24001/65086	7
GO:0042100	GO:0042100	B cell proliferation	7/254	102/28928	0.0686274509803922	7.81596418094797	6.49022286125295	3.36513205125767e-05	0.00308062543237861	0.00243556128366943	12053/16153/16183/16199/21947/22163/60505	7
GO:0042102	GO:0042102	positive regulation of T cell proliferation	7/254	113/28928	0.0619469026548673	7.05511811023622	6.06983582090745	6.48544875007707e-05	0.00489813516849571	0.00387249558261181	12504/16183/20371/21947/22164/58205/60505	7
GO:0007200	GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway	7/254	139/28928	0.0503597122302158	5.73545572990427	5.26720603536378	0.000236288075593226	0.0101538312033679	0.00802768097020571	110197/12121/14608/14675/16183/18798/320127	7
GO:0048259	GO:0048259	regulation of receptor-mediated endocytosis	7/254	144/28928	0.0486111111111111	5.53630796150481	5.13608992590867	0.000293196826051659	0.0113557386090008	0.00897791630649411	12121/13642/15114/19259/20408/72685/96935	7
GO:0046632	GO:0046632	alpha-beta T cell differentiation	7/254	145/28928	0.0482758620689655	5.49812652728754	5.11060193924705	0.000305798905656079	0.0115477311748377	0.00912970680175848	12053/16183/20371/21949/22164/59009/60505	7
GO:0002698	GO:0002698	negative regulation of immune effector process	7/254	149/28928	0.0469798657718121	5.35052581514559	5.0109659338543	0.000360627264899794	0.0123801700825259	0.00978783808681378	12053/16153/16183/20371/21809/22164/96935	7
GO:0006665	GO:0006665	sphingolipid metabolic process	7/254	151/28928	0.0463576158940397	5.27965792355426	4.96248478016115	0.000390847985453518	0.0128555303702729	0.0101636608338644	17761/18439/20444/20447/241230/320910/54447	7
GO:0043433	GO:0043433	negative regulation of DNA-binding transcription factor activity	7/254	153/28928	0.0457516339869281	5.21064278729865	4.91485674960403	0.000423061203884904	0.0131759577003742	0.0104169926382512	16001/16365/17470/20371/22163/22164/69601	7
GO:0032675	GO:0032675	regulation of interleukin-6 production	7/254	173/28928	0.0404624277456647	4.60825633789996	4.48010470834736	0.000876724440074947	0.0197074639086888	0.0155808413417707	16153/17470/18439/20371/22164/57781/96875	7
GO:0050728	GO:0050728	negative regulation of inflammatory response	7/254	174/28928	0.0402298850574713	4.58177210607295	4.46013347343515	0.000906765138466648	0.0197074639086888	0.0155808413417707	16153/16183/16365/17470/19016/20371/57781	7
GO:0051250	GO:0051250	negative regulation of lymphocyte activation	7/254	179/28928	0.0391061452513966	4.45378964500946	4.3625000284301	0.00106935755550144	0.0222795115528956	0.0176143179196572	12053/16153/16183/20371/22164/434215/58205	7
GO:0032635	GO:0032635	interleukin-6 production	7/254	182/28928	0.0384615384615385	4.38037552998183	4.3056264492612	0.00117738133105951	0.0231729903133937	0.0183207076851828	16153/17470/18439/20371/22164/57781/96875	7
GO:0043409	GO:0043409	negative regulation of MAPK cascade	7/254	182/28928	0.0384615384615385	4.38037552998183	4.3056264492612	0.00117738133105951	0.0231729903133937	0.0183207076851828	16001/16878/18439/19016/24063/269016/69601	7
GO:0010970	GO:0010970	transport along microtubule	7/254	190/28928	0.0368421052631579	4.19593866556154	4.15978976408316	0.00150759431077593	0.0274364000774342	0.0216913854860532	12121/13518/15114/16553/17756/23859/76686	7
GO:0048754	GO:0048754	branching morphogenesis of an epithelial tube	7/254	194/28928	0.0360824742268041	4.10942446627161	4.08984875988019	0.0016976943069708	0.0284929694519933	0.0225267156872325	11839/12162/12977/14042/18612/22337/24063	7
GO:0046887	GO:0046887	positive regulation of hormone secretion	7/254	200/28928	0.035	3.98614173228346	3.98838555225077	0.00201720500764261	0.0320803392663645	0.0253629121745609	12289/16878/19016/20750/21943/22337/268860	7
GO:0060603	GO:0060603	mammary gland duct morphogenesis	6/254	42/28928	0.142857142857143	16.2699662542182	9.32059065053818	1.7386576022637e-06	0.000583609401826514	0.000461405157840506	11839/12977/18208/18612/22337/66042	6
GO:0034113	GO:0034113	heterotypic cell-cell adhesion	6/254	61/28928	0.0983606557377049	11.2022718471666	7.50732813161843	1.6009545277459e-05	0.00193459345132815	0.00152950139934967	12162/16153/16404/17470/57781/64931	6
GO:0060443	GO:0060443	mammary gland morphogenesis	6/254	62/28928	0.0967741935483871	11.0215900431801	7.43470241093118	1.75955145203047e-05	0.00204446343714771	0.00161636528123771	11839/12977/18208/18612/22337/66042	6
GO:0030888	GO:0030888	regulation of B cell proliferation	6/254	73/28928	0.0821917808219178	9.36080250242692	6.73167702582479	4.49558133748578e-05	0.00388032892015559	0.00306781174579105	12053/16153/16183/21947/22163/60505	6
GO:0008347	GO:0008347	glial cell migration	6/254	74/28928	0.0810810810810811	9.23430517131305	6.67519904262871	4.85661118484032e-05	0.0040755062192785	0.00322212011064406	12569/12977/17181/18208/21844/69601	6
GO:0006664	GO:0006664	glycolipid metabolic process	6/254	94/28928	0.0638297872340425	7.26955939018261	5.73024137452191	0.000184460205274567	0.0095242251763347	0.00752991059952384	109232/17761/20444/20447/241230/320910	6
GO:0033627	GO:0033627	cell adhesion mediated by integrin	6/254	94/28928	0.0638297872340425	7.26955939018261	5.73024137452191	0.000184460205274567	0.0095242251763347	0.00752991059952384	104099/14042/16404/16419/16878/320910	6
GO:1903509	GO:1903509	liposaccharide metabolic process	6/254	95/28928	0.0631578947368421	7.19303771239121	5.69042923555851	0.000195465726889358	0.0095242251763347	0.00752991059952384	109232/17761/20444/20447/241230/320910	6
GO:0032945	GO:0032945	negative regulation of mononuclear cell proliferation	6/254	99/28928	0.0606060606060606	6.90240992603197	5.5367713898569	0.000244772268316127	0.0101538312033679	0.00802768097020571	12053/16153/16183/20371/434215/58205	6
GO:0006672	GO:0006672	ceramide metabolic process	6/254	105/28928	0.0571428571428571	6.50798650168729	5.32160139748148	0.000336523330821118	0.0119533906090483	0.00945042362826202	18439/20444/20447/241230/320910/54447	6
GO:0070664	GO:0070664	negative regulation of leukocyte proliferation	6/254	105/28928	0.0571428571428571	6.50798650168729	5.32160139748148	0.000336523330821118	0.0119533906090483	0.00945042362826202	12053/16153/16183/20371/434215/58205	6
GO:0043367	GO:0043367	CD4-positive, alpha-beta T cell differentiation	6/254	107/28928	0.0560747663551402	6.38634189417912	5.2535842134482	0.000372445742834597	0.0125864658681092	0.00995093679497542	12053/16183/20371/22164/59009/60505	6
GO:0010717	GO:0010717	regulation of epithelial to mesenchymal transition	6/254	108/28928	0.0555555555555556	6.32720909886264	5.22022291606856	0.000391495794129462	0.0128555303702729	0.0101636608338644	102693/12162/21809/21844/24063/69601	6
GO:0070227	GO:0070227	lymphocyte apoptotic process	6/254	115/28928	0.0521739130434783	5.94207463197535	4.99790959110655	0.000547098703159185	0.0157482237939201	0.0124506419235195	16153/16183/18439/22163/22164/60505	6
GO:0007265	GO:0007265	Ras protein signal transduction	6/254	118/28928	0.0508474576271186	5.79100493794208	4.90817917730555	0.000626891580176809	0.0169227779447548	0.0133792516094875	12977/18208/21858/24063/320127/69601	6
GO:0030038	GO:0030038	contractile actin filament bundle assembly	6/254	118/28928	0.0508474576271186	5.79100493794208	4.90817917730555	0.000626891580176809	0.0169227779447548	0.0133792516094875	104027/16419/18645/21809/229474/235431	6
GO:0043149	GO:0043149	stress fiber assembly	6/254	118/28928	0.0508474576271186	5.79100493794208	4.90817917730555	0.000626891580176809	0.0169227779447548	0.0133792516094875	104027/16419/18645/21809/229474/235431	6
GO:0061387	GO:0061387	regulation of extent of cell growth	6/254	119/28928	0.0504201680672269	5.74234103090055	4.87895245847623	0.00065540053609279	0.0169227779447548	0.0133792516094875	13043/17756/18208/18213/18846/65086	6
GO:0032355	GO:0032355	response to estradiol	6/254	125/28928	0.048	5.46670866141732	4.71029586137476	0.000848164105495639	0.0192654418248295	0.0152313759823475	11839/12162/14619/16153/18619/56089	6
GO:0048675	GO:0048675	axon extension	6/254	132/28928	0.0454545454545455	5.17680744452398	4.52678380071203	0.00112528902772028	0.022584927750571	0.0178557818310582	13043/13175/17756/18208/18213/18846	6
GO:0099565	GO:0099565	chemical synaptic transmission, postsynaptic	6/254	135/28928	0.0444444444444444	5.06176727909011	4.45207916270829	0.00126331236042384	0.0243087047187288	0.019218610431121	18439/216238/225872/268860/320127/380785	6
GO:0046467	GO:0046467	membrane lipid biosynthetic process	6/254	137/28928	0.0437956204379562	4.98787286625668	4.40349623121125	0.00136227461315679	0.025883217649979	0.0204634299718819	109232/18439/20444/20447/241230/54447	6
GO:0035710	GO:0035710	CD4-positive, alpha-beta T cell activation	6/254	139/28928	0.0431654676258993	4.91610491134651	4.35584927843451	0.00146704722226159	0.0273577139410633	0.0216291757460139	12053/16183/20371/22164/59009/60505	6
GO:0030282	GO:0030282	bone mineralization	6/254	143/28928	0.041958041958042	4.77859148725291	4.26323486867008	0.00169490716957881	0.0284929694519933	0.0225267156872325	12162/14758/18439/20750/22337/94249	6
GO:0050868	GO:0050868	negative regulation of T cell activation	6/254	143/28928	0.041958041958042	4.77859148725291	4.26323486867008	0.00169490716957881	0.0284929694519933	0.0225267156872325	12053/16183/20371/22164/434215/58205	6
GO:0001776	GO:0001776	leukocyte homeostasis	6/254	145/28928	0.0413793103448276	4.71267988053217	4.21820704289814	0.00181844327850367	0.0298560714367368	0.0236043924423617	12977/16183/18439/20371/22163/22164	6
GO:0045621	GO:0045621	positive regulation of lymphocyte differentiation	6/254	146/28928	0.0410958904109589	4.68040125121346	4.1960004760744	0.00188271232696859	0.0305788921493125	0.0241758589127999	12053/16153/16183/20371/22164/60505	6
GO:0030278	GO:0030278	regulation of ossification	6/254	148/28928	0.0405405405405405	4.61715258565652	4.15218512180933	0.00201639623417256	0.0320803392663645	0.0253629121745609	12162/12977/14758/18439/20148/22337	6
GO:0043604	GO:0043604	amide biosynthetic process	6/254	160/28928	0.0375	4.27086614173228	3.90474199456898	0.00297490510683618	0.041826616172971	0.0330683782283563	12606/18439/20444/20447/241230/54447	6
GO:1903038	GO:1903038	negative regulation of leukocyte cell-cell adhesion	6/254	160/28928	0.0375	4.27086614173228	3.90474199456898	0.00297490510683618	0.041826616172971	0.0330683782283563	12053/16183/20371/22164/434215/58205	6
GO:0030183	GO:0030183	B cell differentiation	6/254	161/28928	0.0372670807453416	4.24433902283954	3.88522609735025	0.00306785264081085	0.0421271946722254	0.0333060174258365	12053/16153/16183/16199/21947/60505	6
GO:0043405	GO:0043405	regulation of MAP kinase activity	6/254	162/28928	0.037037037037037	4.21813939924176	3.86586814492439	0.00316295228003179	0.0425885020664514	0.0336707298694326	18213/18439/19016/21943/24063/69601	6
GO:0051384	GO:0051384	response to glucocorticoid	6/254	163/28928	0.0368098159509202	4.19226124341819	3.84666577950574	0.00326023457783273	0.0425885020664514	0.0336707298694326	11839/14608/14619/16153/18548/225872	6
GO:0071887	GO:0071887	leukocyte apoptotic process	6/254	164/28928	0.0365853658536585	4.16669867486076	3.82761669307013	0.00335973015937445	0.0429154158353253	0.033929189891933	16153/16183/18439/22163/22164/60505	6
GO:0070507	GO:0070507	regulation of microtubule cytoskeleton organization	6/254	167/28928	0.0359281437125748	4.09184780046207	3.77136674581275	0.00367180383550942	0.04583685697138	0.0362388990986119	102693/12121/12569/17756/213582/76686	6
GO:0050921	GO:0050921	positive regulation of chemotaxis	6/254	169/28928	0.0355029585798817	4.04342356613707	3.7345929817387	0.00389148363190911	0.0479843757224385	0.0379367405405017	12458/12773/12977/13043/18213/21844	6
GO:0002824	GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	6/254	171/28928	0.0350877192982456	3.99613206243956	3.6983808719804	0.00412075657249208	0.0494967962420363	0.0391324694413423	12504/16177/16183/18439/20371/22164	6
GO:0030509	GO:0030509	BMP signaling pathway	6/254	172/28928	0.0348837209302326	3.97289873649515	3.68048047438958	0.00423906797765452	0.0500243139081808	0.0395495281303376	12162/14042/19016/66042/69640/72693	6
GO:0050731	GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	6/254	172/28928	0.0348837209302326	3.97289873649515	3.68048047438958	0.00423906797765452	0.0500243139081808	0.0395495281303376	11839/12504/16183/16878/320664/60505	6
GO:0072073	GO:0072073	kidney epithelium development	6/254	173/28928	0.0346820809248555	3.94993400391425	3.66271461410141	0.00435987073948373	0.0510510445890711	0.040361267678044	12162/13642/14042/15213/16878/24063	6
GO:0002708	GO:0002708	positive regulation of lymphocyte mediated immunity	6/254	174/28928	0.0344827586206897	3.92723323377681	3.64508141329913	0.00448319593952006	0.0522924128698459	0.0413427010232514	16177/16183/18439/20371/22164/60505	6
GO:2001236	GO:2001236	regulation of extrinsic apoptotic signaling pathway	6/254	177/28928	0.0338983050847458	3.86066995862805	3.59295954060448	0.00486861724830112	0.0550864895397666	0.0435517151050472	13043/21943/21947/22163/22164/59009	6
GO:0002821	GO:0002821	positive regulation of adaptive immune response	6/254	179/28928	0.0335195530726257	3.81753398143668	3.55884212342834	0.00513874746664103	0.0577106174599351	0.0456263666672217	12504/16177/16183/18439/20371/22164	6
GO:0007584	GO:0007584	response to nutrient	6/254	179/28928	0.0335195530726257	3.81753398143668	3.55884212342834	0.00513874746664103	0.0577106174599351	0.0456263666672217	11905/12162/18619/20750/20856/22337	6
GO:0007189	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	6/254	180/28928	0.0333333333333333	3.79632545931759	3.54196745893767	0.00527786076936146	0.0588354885027343	0.0465156965845064	11515/14748/19217/19222/56089/65086	6
GO:0031960	GO:0031960	response to corticosteroid	6/254	184/28928	0.0326086956521739	3.71379664498459	3.47565792304455	0.00586202784887993	0.0625766294398101	0.0494734654606976	11839/14608/14619/16153/18548/225872	6
GO:0033280	GO:0033280	response to vitamin D	5/254	36/28928	0.138888888888889	15.8180227471566	8.37292343871	1.5142092766764e-05	0.00190601092701641	0.00150690388104331	12162/18619/20750/20856/22337	5
GO:0030890	GO:0030890	positive regulation of B cell proliferation	5/254	49/28928	0.102040816326531	11.6214044672987	7.00347088543879	6.97916970624492e-05	0.00511245207305641	0.00404193583643095	12053/16183/21947/22163/60505	5
GO:0006687	GO:0006687	glycosphingolipid metabolic process	5/254	54/28928	0.0925925925925926	10.5453484981044	6.60784136797599	0.000111688823575023	0.00733504208739447	0.00579912907761392	17761/20444/20447/241230/320910	5
GO:0032715	GO:0032715	negative regulation of interleukin-6 production	5/254	54/28928	0.0925925925925926	10.5453484981044	6.60784136797599	0.000111688823575023	0.00733504208739447	0.00579912907761392	16153/17470/20371/57781/96875	5
GO:0045604	GO:0045604	regulation of epidermal cell differentiation	5/254	58/28928	0.0862068965517241	9.81808308444203	6.32687431174883	0.000157272739119817	0.00896454612982957	0.00708742492676991	15213/18612/195733/22337/235505	5
GO:0046578	GO:0046578	regulation of Ras protein signal transduction	5/254	58/28928	0.0862068965517241	9.81808308444203	6.32687431174883	0.000157272739119817	0.00896454612982957	0.00708742492676991	12977/21858/24063/320127/69601	5
GO:0002639	GO:0002639	positive regulation of immunoglobulin production	5/254	60/28928	0.0833333333333333	9.49081364829396	6.19642220908077	0.000184802866197906	0.0095242251763347	0.00752991059952384	16153/16183/22163/22164/60505	5
GO:0002823	GO:0002823	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	5/254	62/28928	0.0806451612903226	9.18465836931674	6.07194058515867	0.000215863012800371	0.0101538312033679	0.00802768097020571	12053/16183/20371/22164/96935	5
GO:0043030	GO:0043030	regulation of macrophage activation	5/254	63/28928	0.0793650793650794	9.03887014123235	6.0117916745051	0.000232807601584816	0.0101538312033679	0.00802768097020571	106763/12606/16153/17470/19016	5
GO:0043370	GO:0043370	regulation of CD4-positive, alpha-beta T cell differentiation	5/254	63/28928	0.0793650793650794	9.03887014123235	6.0117916745051	0.000232807601584816	0.0101538312033679	0.00802768097020571	12053/16183/20371/22164/59009	5
GO:0032653	GO:0032653	regulation of interleukin-10 production	5/254	65/28928	0.0769230769230769	8.76075105996366	5.89541133587998	0.000269712955144146	0.0110108491552765	0.00870524459775343	20371/21947/22164/58205/60505	5
GO:0045682	GO:0045682	regulation of epidermis development	5/254	66/28928	0.0757575757575758	8.62801240753997	5.83908184957576	0.000289750454431467	0.0113557386090008	0.00897791630649411	15213/18612/195733/22337/235505	5
GO:0099171	GO:0099171	presynaptic modulation of chemical synaptic transmission	5/254	66/28928	0.0757575757575758	8.62801240753997	5.83908184957576	0.000289750454431467	0.0113557386090008	0.00897791630649411	12289/18439/18645/320127/68404	5
GO:0002820	GO:0002820	negative regulation of adaptive immune response	5/254	67/28928	0.0746268656716418	8.49923610294982	5.78393170862328	0.00031089667405563	0.0115952944731118	0.00916731063589634	12053/16183/20371/22164/96935	5
GO:0032613	GO:0032613	interleukin-10 production	5/254	68/28928	0.0735294117647059	8.37424733672997	5.72991802313809	0.000333191487017592	0.0119533906090483	0.00945042362826202	20371/21947/22164/58205/60505	5
GO:0046513	GO:0046513	ceramide biosynthetic process	5/254	73/28928	0.0684931506849315	7.80066875202244	5.47553964884893	0.000463329959777086	0.0138586119652136	0.0109567032697677	18439/20444/20447/241230/54447	5
GO:0002712	GO:0002712	regulation of B cell mediated immunity	5/254	76/28928	0.0657894736842105	7.49274761707418	5.33423041751508	0.000557869958227745	0.0157507022785609	0.0124526014286154	12053/16183/20371/22164/96935	5
GO:0002889	GO:0002889	regulation of immunoglobulin mediated immune response	5/254	76/28928	0.0657894736842105	7.49274761707418	5.33423041751508	0.000557869958227745	0.0157507022785609	0.0124526014286154	12053/16183/20371/22164/96935	5
GO:0002763	GO:0002763	positive regulation of myeloid leukocyte differentiation	5/254	78/28928	0.0641025641025641	7.30062588330305	5.24423930546547	0.000628483326453119	0.0169227779447548	0.0133792516094875	12504/12977/16878/21943/97086	5
GO:0042093	GO:0042093	T-helper cell differentiation	5/254	81/28928	0.0617283950617284	7.0302323320696	5.11505894410872	0.000746689856661659	0.0184539163609752	0.0145897789937291	12053/16183/20371/22164/60505	5
GO:0002294	GO:0002294	CD4-positive, alpha-beta T cell differentiation involved in immune response	5/254	82/28928	0.0609756097560976	6.94449779143461	5.0734538274039	0.000789553639015219	0.0185350609686614	0.0146539324162068	12053/16183/20371/22164/60505	5
GO:0046637	GO:0046637	regulation of alpha-beta T cell differentiation	5/254	82/28928	0.0609756097560976	6.94449779143461	5.0734538274039	0.000789553639015219	0.0185350609686614	0.0146539324162068	12053/16183/20371/22164/59009	5
GO:0002293	GO:0002293	alpha-beta T cell differentiation involved in immune response	5/254	83/28928	0.0602409638554217	6.86082914334503	5.03254018090149	0.000834226587442104	0.0190924130353227	0.0150945783644827	12053/16183/20371/22164/60505	5
GO:0002287	GO:0002287	alpha-beta T cell activation involved in immune response	5/254	84/28928	0.0595238095238095	6.77915260592426	4.99229773132012	0.000880756299305322	0.0197074639086888	0.0155808413417707	12053/16183/20371/22164/60505	5
